x: -9.975 , y: -8.924999999999999 , z: 0.075
x: -9.975 , y: -8.775 , z: 0.075
x: -9.825 , y: -8.924999999999999 , z: 0.075
x: -9.674999999999999 , y: -8.924999999999999 , z: 0.075
x: -9.825 , y: -8.775 , z: 0.075
x: -9.674999999999999 , y: -8.775 , z: 0.075
x: -9.975 , y: -8.625 , z: 0.075
x: -9.975 , y: -8.475 , z: 0.075
x: -9.825 , y: -8.625 , z: 0.075
x: -9.674999999999999 , y: -8.625 , z: 0.075
x: -9.825 , y: -8.475 , z: 0.075
x: -9.674999999999999 , y: -8.475 , z: 0.075
x: -9.975 , y: -8.325 , z: 0.075
x: -9.975 , y: -8.174999999999999 , z: 0.075
x: -9.825 , y: -8.325 , z: 0.075
x: -9.674999999999999 , y: -8.325 , z: 0.075
x: -9.825 , y: -8.174999999999999 , z: 0.075
x: -9.674999999999999 , y: -8.174999999999999 , z: 0.075
x: -9.975 , y: -8.025 , z: 0.075
x: -9.975 , y: -7.875 , z: 0.075
x: -9.825 , y: -8.025 , z: 0.075
x: -9.674999999999999 , y: -8.025 , z: 0.075
x: -9.825 , y: -7.875 , z: 0.075
x: -9.674999999999999 , y: -7.875 , z: 0.075
x: -9.975 , y: -7.725 , z: 0.075
x: -9.975 , y: -7.574999999999999 , z: 0.075
x: -9.825 , y: -7.725 , z: 0.075
x: -9.674999999999999 , y: -7.725 , z: 0.075
x: -9.825 , y: -7.574999999999999 , z: 0.075
x: -9.674999999999999 , y: -7.574999999999999 , z: 0.075
x: -9.975 , y: -7.425 , z: 0.075
x: -9.975 , y: -7.2749999999999995 , z: 0.075
x: -9.825 , y: -7.425 , z: 0.075
x: -9.674999999999999 , y: -7.425 , z: 0.075
x: -9.825 , y: -7.2749999999999995 , z: 0.075
x: -9.674999999999999 , y: -7.2749999999999995 , z: 0.075
x: -9.975 , y: -7.125 , z: 0.075
x: -9.975 , y: -6.975 , z: 0.075
x: -9.825 , y: -7.125 , z: 0.075
x: -9.674999999999999 , y: -7.125 , z: 0.075
x: -9.825 , y: -6.975 , z: 0.075
x: -9.674999999999999 , y: -6.975 , z: 0.075
x: -9.975 , y: -6.825 , z: 0.075
x: -9.975 , y: -6.675 , z: 0.075
x: -9.825 , y: -6.825 , z: 0.075
x: -9.674999999999999 , y: -6.825 , z: 0.075
x: -9.825 , y: -6.675 , z: 0.075
x: -9.674999999999999 , y: -6.675 , z: 0.075
x: -9.975 , y: -6.5249999999999995 , z: 0.075
x: -9.975 , y: -6.375 , z: 0.075
x: -9.825 , y: -6.5249999999999995 , z: 0.075
x: -9.674999999999999 , y: -6.5249999999999995 , z: 0.075
x: -9.825 , y: -6.375 , z: 0.075
x: -9.674999999999999 , y: -6.375 , z: 0.075
x: -9.975 , y: -6.225 , z: 0.075
x: -9.975 , y: -6.075 , z: 0.075
x: -9.825 , y: -6.225 , z: 0.075
x: -9.674999999999999 , y: -6.225 , z: 0.075
x: -9.825 , y: -6.075 , z: 0.075
x: -9.674999999999999 , y: -6.075 , z: 0.075
x: -9.975 , y: -5.925 , z: 0.075
x: -9.975 , y: -5.7749999999999995 , z: 0.075
x: -9.825 , y: -5.925 , z: 0.075
x: -9.674999999999999 , y: -5.925 , z: 0.075
x: -9.825 , y: -5.7749999999999995 , z: 0.075
x: -9.674999999999999 , y: -5.7749999999999995 , z: 0.075
x: -9.975 , y: -5.625 , z: 0.075
x: -9.975 , y: -5.475 , z: 0.075
x: -9.825 , y: -5.625 , z: 0.075
x: -9.674999999999999 , y: -5.625 , z: 0.075
x: -9.825 , y: -5.475 , z: 0.075
x: -9.674999999999999 , y: -5.475 , z: 0.075
x: -9.975 , y: -5.325 , z: 0.075
x: -9.975 , y: -5.175 , z: 0.075
x: -9.825 , y: -5.325 , z: 0.075
x: -9.674999999999999 , y: -5.325 , z: 0.075
x: -9.825 , y: -5.175 , z: 0.075
x: -9.674999999999999 , y: -5.175 , z: 0.075
x: -9.975 , y: -5.0249999999999995 , z: 0.075
x: -9.975 , y: -4.875 , z: 0.075
x: -9.825 , y: -5.0249999999999995 , z: 0.075
x: -9.674999999999999 , y: -5.0249999999999995 , z: 0.075
x: -9.825 , y: -4.875 , z: 0.075
x: -9.674999999999999 , y: -4.875 , z: 0.075
x: -9.975 , y: -4.725 , z: 0.075
x: -9.975 , y: -4.575 , z: 0.075
x: -9.825 , y: -4.725 , z: 0.075
x: -9.674999999999999 , y: -4.725 , z: 0.075
x: -9.825 , y: -4.575 , z: 0.075
x: -9.674999999999999 , y: -4.575 , z: 0.075
x: -9.975 , y: -4.425 , z: 0.075
x: -9.975 , y: -4.2749999999999995 , z: 0.075
x: -9.825 , y: -4.425 , z: 0.075
x: -9.674999999999999 , y: -4.425 , z: 0.075
x: -9.825 , y: -4.2749999999999995 , z: 0.075
x: -9.674999999999999 , y: -4.2749999999999995 , z: 0.075
x: -9.975 , y: -4.125 , z: 0.075
x: -9.975 , y: -3.9749999999999996 , z: 0.075
x: -9.825 , y: -4.125 , z: 0.075
x: -9.674999999999999 , y: -4.125 , z: 0.075
x: -9.825 , y: -3.9749999999999996 , z: 0.075
x: -9.674999999999999 , y: -3.9749999999999996 , z: 0.075
x: -9.975 , y: -3.8249999999999997 , z: 0.075
x: -9.975 , y: -3.675 , z: 0.075
x: -9.825 , y: -3.8249999999999997 , z: 0.075
x: -9.674999999999999 , y: -3.8249999999999997 , z: 0.075
x: -9.825 , y: -3.675 , z: 0.075
x: -9.674999999999999 , y: -3.675 , z: 0.075
x: -9.975 , y: -3.525 , z: 0.075
x: -9.975 , y: -3.375 , z: 0.075
x: -9.825 , y: -3.525 , z: 0.075
x: -9.674999999999999 , y: -3.525 , z: 0.075
x: -9.825 , y: -3.375 , z: 0.075
x: -9.674999999999999 , y: -3.375 , z: 0.075
x: -9.975 , y: -3.225 , z: 0.075
x: -9.975 , y: -3.0749999999999997 , z: 0.075
x: -9.825 , y: -3.225 , z: 0.075
x: -9.674999999999999 , y: -3.225 , z: 0.075
x: -9.825 , y: -3.0749999999999997 , z: 0.075
x: -9.674999999999999 , y: -3.0749999999999997 , z: 0.075
x: -9.975 , y: -2.925 , z: 0.075
x: -9.975 , y: -2.775 , z: 0.075
x: -9.825 , y: -2.925 , z: 0.075
x: -9.674999999999999 , y: -2.925 , z: 0.075
x: -9.825 , y: -2.775 , z: 0.075
x: -9.674999999999999 , y: -2.775 , z: 0.075
x: -9.975 , y: -2.625 , z: 0.075
x: -9.975 , y: -2.475 , z: 0.075
x: -9.825 , y: -2.625 , z: 0.075
x: -9.674999999999999 , y: -2.625 , z: 0.075
x: -9.825 , y: -2.475 , z: 0.075
x: -9.674999999999999 , y: -2.475 , z: 0.075
x: -9.975 , y: -2.3249999999999997 , z: 0.075
x: -9.975 , y: -2.175 , z: 0.075
x: -9.825 , y: -2.3249999999999997 , z: 0.075
x: -9.674999999999999 , y: -2.3249999999999997 , z: 0.075
x: -9.825 , y: -2.175 , z: 0.075
x: -9.674999999999999 , y: -2.175 , z: 0.075
x: -9.975 , y: -2.025 , z: 0.075
x: -9.975 , y: -1.875 , z: 0.075
x: -9.825 , y: -2.025 , z: 0.075
x: -9.674999999999999 , y: -2.025 , z: 0.075
x: -9.825 , y: -1.875 , z: 0.075
x: -9.674999999999999 , y: -1.875 , z: 0.075
x: -9.975 , y: -1.7249999999999999 , z: 0.075
x: -9.975 , y: -1.575 , z: 0.075
x: -9.825 , y: -1.7249999999999999 , z: 0.075
x: -9.674999999999999 , y: -1.7249999999999999 , z: 0.075
x: -9.825 , y: -1.575 , z: 0.075
x: -9.674999999999999 , y: -1.575 , z: 0.075
x: -9.975 , y: -1.425 , z: 0.075
x: -9.975 , y: -1.275 , z: 0.075
x: -9.825 , y: -1.425 , z: 0.075
x: -9.674999999999999 , y: -1.425 , z: 0.075
x: -9.825 , y: -1.275 , z: 0.075
x: -9.674999999999999 , y: -1.275 , z: 0.075
x: -9.975 , y: -1.125 , z: 0.075
x: -9.975 , y: -0.975 , z: 0.075
x: -9.825 , y: -1.125 , z: 0.075
x: -9.674999999999999 , y: -1.125 , z: 0.075
x: -9.825 , y: -0.975 , z: 0.075
x: -9.674999999999999 , y: -0.975 , z: 0.075
x: -9.975 , y: -0.825 , z: 0.075
x: -9.975 , y: -0.6749999999999999 , z: 0.075
x: -9.825 , y: -0.825 , z: 0.075
x: -9.674999999999999 , y: -0.825 , z: 0.075
x: -9.825 , y: -0.6749999999999999 , z: 0.075
x: -9.674999999999999 , y: -0.6749999999999999 , z: 0.075
x: -9.975 , y: -0.525 , z: 0.075
x: -9.975 , y: -0.375 , z: 0.075
x: -9.825 , y: -0.525 , z: 0.075
x: -9.674999999999999 , y: -0.525 , z: 0.075
x: -9.825 , y: -0.375 , z: 0.075
x: -9.674999999999999 , y: -0.375 , z: 0.075
x: -9.975 , y: -0.22499999999999998 , z: 0.075
x: -9.975 , y: -0.075 , z: 0.075
x: -9.825 , y: -0.22499999999999998 , z: 0.075
x: -9.674999999999999 , y: -0.22499999999999998 , z: 0.075
x: -9.825 , y: -0.075 , z: 0.075
x: -9.674999999999999 , y: -0.075 , z: 0.075
x: -9.525 , y: -9.525 , z: 0.075
x: -9.375 , y: -9.525 , z: 0.075
x: -9.525 , y: -9.375 , z: 0.075
x: -9.375 , y: -9.375 , z: 0.075
x: -9.225 , y: -9.525 , z: 0.075
x: -9.075 , y: -9.525 , z: 0.075
x: -9.225 , y: -9.375 , z: 0.075
x: -9.075 , y: -9.375 , z: 0.075
x: -9.525 , y: -9.225 , z: 0.075
x: -9.375 , y: -9.225 , z: 0.075
x: -9.525 , y: -9.075 , z: 0.075
x: -9.375 , y: -9.075 , z: 0.075
x: -9.225 , y: -9.225 , z: 0.075
x: -9.075 , y: -9.225 , z: 0.075
x: -9.225 , y: -9.075 , z: 0.075
x: -9.075 , y: -9.075 , z: 0.075
x: -8.924999999999999 , y: -9.525 , z: 0.075
x: -8.775 , y: -9.525 , z: 0.075
x: -8.924999999999999 , y: -9.375 , z: 0.075
x: -8.775 , y: -9.375 , z: 0.075
x: -8.625 , y: -9.525 , z: 0.075
x: -8.475 , y: -9.525 , z: 0.075
x: -8.625 , y: -9.375 , z: 0.075
x: -8.475 , y: -9.375 , z: 0.075
x: -8.924999999999999 , y: -9.225 , z: 0.075
x: -8.775 , y: -9.225 , z: 0.075
x: -8.924999999999999 , y: -9.075 , z: 0.075
x: -8.775 , y: -9.075 , z: 0.075
x: -8.625 , y: -9.225 , z: 0.075
x: -8.475 , y: -9.225 , z: 0.075
x: -8.625 , y: -9.075 , z: 0.075
x: -8.475 , y: -9.075 , z: 0.075
x: -9.525 , y: -8.924999999999999 , z: 0.075
x: -9.375 , y: -8.924999999999999 , z: 0.075
x: -9.525 , y: -8.775 , z: 0.075
x: -9.375 , y: -8.775 , z: 0.075
x: -9.225 , y: -8.924999999999999 , z: 0.075
x: -9.075 , y: -8.924999999999999 , z: 0.075
x: -9.225 , y: -8.775 , z: 0.075
x: -9.075 , y: -8.775 , z: 0.075
x: -9.525 , y: -8.625 , z: 0.075
x: -9.375 , y: -8.625 , z: 0.075
x: -9.525 , y: -8.475 , z: 0.075
x: -9.375 , y: -8.475 , z: 0.075
x: -9.225 , y: -8.625 , z: 0.075
x: -9.075 , y: -8.625 , z: 0.075
x: -9.225 , y: -8.475 , z: 0.075
x: -9.075 , y: -8.475 , z: 0.075
x: -8.924999999999999 , y: -8.924999999999999 , z: 0.075
x: -8.775 , y: -8.924999999999999 , z: 0.075
x: -8.924999999999999 , y: -8.775 , z: 0.075
x: -8.775 , y: -8.775 , z: 0.075
x: -8.625 , y: -8.924999999999999 , z: 0.075
x: -8.475 , y: -8.924999999999999 , z: 0.075
x: -8.625 , y: -8.775 , z: 0.075
x: -8.475 , y: -8.775 , z: 0.075
x: -8.924999999999999 , y: -8.625 , z: 0.075
x: -8.775 , y: -8.625 , z: 0.075
x: -8.924999999999999 , y: -8.475 , z: 0.075
x: -8.775 , y: -8.475 , z: 0.075
x: -8.625 , y: -8.625 , z: 0.075
x: -8.475 , y: -8.625 , z: 0.075
x: -8.625 , y: -8.475 , z: 0.075
x: -8.475 , y: -8.475 , z: 0.075
x: -8.325 , y: -9.525 , z: 0.075
x: -8.174999999999999 , y: -9.525 , z: 0.075
x: -8.325 , y: -9.375 , z: 0.075
x: -8.174999999999999 , y: -9.375 , z: 0.075
x: -8.025 , y: -9.525 , z: 0.075
x: -7.875 , y: -9.525 , z: 0.075
x: -8.025 , y: -9.375 , z: 0.075
x: -7.875 , y: -9.375 , z: 0.075
x: -8.325 , y: -9.225 , z: 0.075
x: -8.174999999999999 , y: -9.225 , z: 0.075
x: -8.325 , y: -9.075 , z: 0.075
x: -8.174999999999999 , y: -9.075 , z: 0.075
x: -8.025 , y: -9.225 , z: 0.075
x: -7.875 , y: -9.225 , z: 0.075
x: -8.025 , y: -9.075 , z: 0.075
x: -7.875 , y: -9.075 , z: 0.075
x: -7.875 , y: -9.075 , z: 0.22499999999999998
x: -7.875 , y: -9.075 , z: 0.375
x: -7.875 , y: -9.075 , z: 0.525
x: -7.725 , y: -9.525 , z: 0.075
x: -7.574999999999999 , y: -9.525 , z: 0.075
x: -7.725 , y: -9.375 , z: 0.075
x: -7.574999999999999 , y: -9.375 , z: 0.075
x: -7.425 , y: -9.525 , z: 0.075
x: -7.2749999999999995 , y: -9.525 , z: 0.075
x: -7.425 , y: -9.375 , z: 0.075
x: -7.2749999999999995 , y: -9.375 , z: 0.075
x: -7.725 , y: -9.225 , z: 0.075
x: -7.574999999999999 , y: -9.225 , z: 0.075
x: -7.725 , y: -9.075 , z: 0.075
x: -7.574999999999999 , y: -9.075 , z: 0.075
x: -7.725 , y: -9.075 , z: 0.22499999999999998
x: -7.574999999999999 , y: -9.075 , z: 0.22499999999999998
x: -7.425 , y: -9.225 , z: 0.075
x: -7.2749999999999995 , y: -9.225 , z: 0.075
x: -7.425 , y: -9.075 , z: 0.075
x: -7.2749999999999995 , y: -9.075 , z: 0.075
x: -7.425 , y: -9.075 , z: 0.22499999999999998
x: -7.725 , y: -9.075 , z: 0.375
x: -7.574999999999999 , y: -9.075 , z: 0.375
x: -7.725 , y: -9.075 , z: 0.525
x: -7.574999999999999 , y: -9.075 , z: 0.525
x: -7.425 , y: -9.075 , z: 0.375
x: -7.425 , y: -9.075 , z: 0.525
x: -8.325 , y: -8.924999999999999 , z: 0.075
x: -8.174999999999999 , y: -8.924999999999999 , z: 0.075
x: -8.325 , y: -8.775 , z: 0.075
x: -8.174999999999999 , y: -8.775 , z: 0.075
x: -8.025 , y: -8.924999999999999 , z: 0.075
x: -7.875 , y: -8.924999999999999 , z: 0.075
x: -8.025 , y: -8.775 , z: 0.075
x: -7.875 , y: -8.775 , z: 0.075
x: -7.875 , y: -8.924999999999999 , z: 0.22499999999999998
x: -7.875 , y: -8.775 , z: 0.22499999999999998
x: -8.325 , y: -8.625 , z: 0.075
x: -8.174999999999999 , y: -8.625 , z: 0.075
x: -8.325 , y: -8.475 , z: 0.075
x: -8.174999999999999 , y: -8.475 , z: 0.075
x: -8.025 , y: -8.625 , z: 0.075
x: -7.875 , y: -8.625 , z: 0.075
x: -8.025 , y: -8.475 , z: 0.075
x: -7.875 , y: -8.475 , z: 0.075
x: -7.875 , y: -8.625 , z: 0.22499999999999998
x: -7.875 , y: -8.924999999999999 , z: 0.375
x: -7.875 , y: -8.775 , z: 0.375
x: -7.875 , y: -8.924999999999999 , z: 0.525
x: -7.875 , y: -8.775 , z: 0.525
